Day,Month,Airline,flightclass,capacity,timediff,night1,season,delayed
4,4,4,DOM,34,23,0,Summer,0
0,4,4,DOM,37,29,0,Summer,0
2,4,4,DOM,43,33,0,Summer,0
3,4,4,DOM,17,104,0,Summer,1
1,4,4,DOM,21,23,0,Summer,0
5,4,4,DOM,36,18,0,Summer,0
6,4,4,DOM,31,31,0,Summer,0
4,4,4,DOM,33,34,0,Summer,0
0,4,4,DOM,35,29,0,Summer,0
2,4,4,DOM,36,11,0,Summer,0
3,4,4,DOM,34,113,0,Summer,1
1,4,4,DOM,34,25,0,Summer,0
5,1,4,DOM,37,3,0,Summer,0
6,1,4,DOM,28,5,0,Summer,0
4,1,4,DOM,37,31,0,Summer,0
0,1,4,DOM,34,0,0,Summer,0
2,1,4,DOM,47,7,0,Summer,0
3,1,4,DOM,50,76,0,Summer,1
1,1,4,DOM,43,7,0,Summer,0
5,1,4,DOM,33,7,0,Summer,0
6,1,4,DOM,46,13,0,Summer,0
4,1,4,DOM,39,9,0,Summer,0
0,1,4,DOM,23,14,0,Summer,0
2,1,4,DOM,23,7,0,Summer,0
3,1,4,DOM,11,113,0,Summer,1
1,1,4,DOM,33,10,0,Summer,0
5,1,4,DOM,39,79,0,Summer,1
6,1,4,DOM,25,8,0,Summer,0
4,1,4,DOM,17,10,0,Summer,0
0,1,4,DOM,44,10,0,Summer,0
2,1,4,DOM,38,2,0,Summer,0
3,1,4,DOM,20,106,0,Summer,1
1,1,4,DOM,49,33,0,Summer,0
5,1,4,DOM,32,13,0,Summer,0
6,1,4,DOM,44,7,0,Summer,0
4,1,4,DOM,36,6,0,Summer,0
0,1,4,DOM,47,7,0,Summer,0
3,1,4,DOM,19,103,0,Summer,1
1,1,4,DOM,0,9,0,Summer,0
5,1,4,DOM,39,128,0,Summer,1
6,1,4,DOM,36,2,0,Summer,0
4,1,4,DOM,34,21,0,Summer,0
0,10,4,DOM,36,11,0,Summer,0
